price,name,desc
"€ 140,46",Nokia Lumia 520 Black,"Windows Phone, Qualcomm Snapdragon S4 Plus (MSM8227), 4 inch, 800x480, 5 MPixel, 124 gram"
"€ 194,90",Samsung Galaxy Ace 4 Grey,"Android, 4 inch, 800x480, 5 MPixel, 130 gram"
"€ 492,66",Samsung Galaxy Mega Black,"Android, Qualcomm Snapdragon 400 (8930AB), 6.3 inch, 1280x720, 8 MPixel, 200 gram"
"€ 89,21",Samsung Galaxy Pocket Neo Black,"Android, 3 inch, 320x240, 2 MPixel, 100.2 gram"
,Sony Ericsson Xperia Ray ST18i Black,"Android, Qualcomm Snapdragon S2 (MSM8255), 3.3 inch, 854x480, 8.1 MPixel, 98.9 gram"
"€ 175,25",Sony Xperia E3 Yellow,"Android, 4.5 inch, 854x480, 5 MPixel, 143.8 gram"
"€ 137,99",Sony Xperia M White,"Android, Qualcomm Snapdragon S4 Plus (MSM8227), 4 inch, 854x480, 5 MPixel, 115 gram"
"€ 623,39",Sony Xperia Z3 Green,"Android, Qualcomm Snapdragon 801 (8974AC), 5.2 inch, 1920x1080, 20.7 MPixel, 152 gram"
"€ 223,38",Alcatel One Touch Idol Ultra,"Android, MediaTek MT6577, 4.7 inch, 1280x720, 8 MPixel, 125 gram"
"€ 1.053,16",Apple iPhone 6 Plus 128GB Gold,"iOS, Apple A8, 5.5 inch, 1920x1080, 8 MPixel, 172 gram"
"€ 128,02",Archos 50b Platinum,"Android, 5 inch, 960x540, 8 MPixel, 160 gram"
"€ 256,90",HTC Desire 610 White,"Android, Qualcomm Snapdragon 400 (8926), 4.7 inch, 960x540, 8 MPixel, 143.5 gram"
"€ 580,84",HTC Desire Eye Red,"Android, 5.2 inch, 1920x1080, 13 MPixel, 154 gram"
"€ 252,89",Huawei Ascend G700 Black,"Android, MediaTek MT6589, 5 inch, 1280x720, 8 MPixel, 155 gram"
,LG G3 16GB Red,"Android, Qualcomm Snapdragon 801 (8974AC), 5.5 inch, 2560x1440, 13 MPixel, 149 gram"
"€ 304,87",LG G3 s Black,"Android, 5 inch, 1280x720, 8 MPixel, 134 gram"
"€ 189,97",LG L90 White,"Android, Qualcomm Snapdragon 400, 4.7 inch, 960x540, 8 MPixel, 126 gram"
"€ 162,83",Nokia Lumia 635 Black,"Windows Phone, Qualcomm Snapdragon 400 (8626), 4.5 inch, 854x480, 5 MPixel, 134 gram"
